GENE_ID	A498	A549	ACHN	BT549	CAKI1	COLO205	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB435	NCIH226	NCIH322T	NCIH460	NCIH522	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	SF268	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SR	SW620	T47D	TK10	UACC257	X786O
ENSG00000106772	3517.4	5650.6	4941	63424	79565	29832	0	0	0	0	0	0	0	0	0	807.97	0	0	0	0	3179.5	0	0	0	10849	0	0	0	5758.1	0	0	0	0	0	25203	0	5034.3	10190	0	45157	0	0
ENSG00000106780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91915	0
ENSG00000106785	0	0	0	0	15183	53223	0	0	0	0	134670	0	0	0	11601	149610	0	0	21850	0	6934.6	46426	56297	0	0	0	293140	0	23183	0	0	266610	0	0	0	200660	10562	17754	0	0	10103	0
ENSG00000106789	0	0	0	0	0	0	0	0	0	2226.2	213970	0	77358	22702	98196	0	39187	0	0	16732	0	0	0	0	0	33291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106799	0	10712	0	0	0	914030	119810	0	0	0	281760	0	0	0	0	0	0	4624.2	101970	0	101010	0	0	249860	0	884600	0	44544	0	354560	0	341920	2119	0	0	42568	75469	0	543030	0	0	268610
ENSG00000106803	10250000	4589500	3126200	22123000	960360	59937000	7782000	159970	0	167960	4113300	0	14027000	6855700	15434000	234220	5353300	3621600	4693900	8992700	1495800	13842000	7347000	8815100	4393300	29753000	1207300	10598000	14035000	14054000	2575100	14762000	1226900	7923.4	7528000	9751000	13682000	2673400	939570	4442100	2752800	158060
ENSG00000106853	11636000	4269800	1278200	2297900	3573500	119160000	9928600	443990	33924	164890	1259200	2568500	6801200	670010	2354200	473530	558040	94785	380480	2613300	342160	18199000	5626100	16101000	125170	2680000	867510	4453000	891690	284520	16965000	4592200	2209300	304830	1342800	2452900	901350	582800	3737900	2000900	2016000	52290
ENSG00000106976	2527786	753890	174167	2162779	539654.71	876452	2579593	614.34	23648	27130	417480	4125.3	1502260	792850	1004918	39399	1973259	536106	725363	3106791.8	2535229	390786	201334	450086	527475	270351	733090	335540	935280	318180	250830	260520	3971.6	0	1567269	630673	2246238	427790	214529	274518.8	2876130	49829.9
ENSG00000106991	1416.4	0	28591	165420	667390	82660	0	57076	178350	18333	45819	527070	5654300	1305900	143050	75534	73908	43249	539100	1555300	393940	69961	45153	798830	34053	75860	145700	36650	109700	67545	310120	8523900	7107.4	181460	573260	46489	226860	0	48271	126300	1500400	177650
ENSG00000106992	10445000	1779400	1865100	2293300	1070200	148060000	13437000	558400	239500	1276700	1520600	963260	13502000	1330100	4401500	142160	4592800	4725900	2360700	7402400	3648500	234150	294370	6085500	3701900	3298900	3269600	9679000	9365500	1147800	23145000	2099000	806210	130630	5113800	4176600	3929000	16642000	6481400	5014200	2449700	442890
ENSG00000107020	1334800	731890	73233	152670	18398	5745400	951570	0	0	4475.6	475610	5844.4	2405800	227260	1488300	0	129390	28047	391430	1860700	66462	692310	17239	1278600	1126600	1507000	366630	149820	601640	566870	113690	88140	0	9615.6	305490	428280	192720	280070	29474	32031	223330	26414
ENSG00000107021	484470	33163	138450	109020	92120	501650	110970	14735	2112.2	57719	328110	22922	199660	35851	74492	66002	147360	44395	78538	118810	450610	170420	67583	159830	135850	908240	44630	127280	108020	140180	312350	106230	56140	0	501300	180700	381710	115190	254970	176050	291500	12354
ENSG00000107099	167040	82575	24527	48689	218430	680230	114080	1807	7884.5	16013	812970	0	169140	153650	37330	45945	160520	7627.2	80004	35965	77881	19715	14797	135950	10231	35094	206140	101180	12777	198090	87402	233690	8676.9	0	32412	213800	93919	408080	121180	12299	437730	67526
